venue_name,identifier,maximumAttendeeCapacity
Solaris Beer & Blending,jambase:10945441,
Pantages Theatre,jambase:63398,2703
Avalon Hollywood,jambase:63075,1250
Carpenter Performing Arts Center,jambase:69385,1054
Knitting Factory NoHo,jambase:9394914,300
The Pico Union Project,jambase:7717092,375
Florentine Gardens Incas,jambase:332166,
The Vermont Hollywood,jambase:7762465,1200
Royce Hall at UCLA,jambase:63273,1800
Mayan Theatre,jambase:63268,1700
Los Globos,jambase:70379,840
Terrace Theatre,jambase:63931,3051
NAMM,jambase:398036,
Santa Clarita Performing Arts Center,jambase:376061,886
Oxnard Performing Arts Convention Center,jambase:373506,1604
Catch One,jambase:193038,2000
Outer Harbor/Berth 46,jambase:3435032,
Calico Ghost Town,jambase:396084,2500
The Rose,jambase:2035742,1300
Glen Helen Amphitheater,jambase:62842,65000
Barclay Theatre,jambase:359233,755
Tiki Bar,jambase:67156,150
The Cathedral Sanctuary at Immanuel Presbyterian,jambase:70566,
Dorothy Chandler Pavilion,jambase:63929,3156
NOS Events Center,jambase:369199,4000
Lancaster Performing Arts Center,jambase:62643,754
SilverLakes Equestrian and Sports Park,jambase:5112565,
Don Quixote,jambase:7830981,750
Hollywood Park Grounds,jambase:9516859,
Barnsdall Gallery Theatre,jambase:9233517,299
Sofar Sounds Santa Monica,jambase:9198878,
The Stowaway,jambase:8886674,
HEART WeHo,jambase:8413071,
Yucaipa Performing Arts Center,jambase:7906910,
Kiss Kiss Bang Bang,jambase:6475968,
The Miracle Theater,jambase:5909049,500
Copper Blues,jambase:4055018,
Ojai Valley Women’s Club,jambase:398086,
Catch One (Downstairs),jambase:395230,2400
Rök House Brewing Company,jambase:10380122,
The Canyon at Oxnard PACC,jambase:10222536,
The Viper Room,jambase:66124,250
Pacific Amphitheatre (OC Fair),jambase:65061,8000
The Hotel Cafe,jambase:62813,200
GRAMMY Museum,jambase:193034,200
Dodger Stadium,jambase:62768,56000
Resident,jambase:2107838,210
McCabe’s Guitar Shop,jambase:62439,
Yost Theater,jambase:66862,1000
Anaheim Convention Center,jambase:64240,
Rainbow Bar & Grill,jambase:375698,
Libbey Bowl,jambase:347690,973
The Peppermint Club,jambase:3297993,250
Highland Park Ebell Club,jambase:2415682,500
La Santa,jambase:5689417,300
Redondo Beach Pier,jambase:329597,
The Concert Lounge,jambase:5870755,500
Lake Perris State Recreation Area,jambase:342910,12000
Mark Taper Forum,jambase:335783,
Harry Bridges Memorial Park,jambase:9981498,15000
Hangar 24 Craft Brewery OC,jambase:7396833,
Hyatt Regency Newport Beach,jambase:69197,
Ventura County Fairgrounds,jambase:62574,
Adults Only,jambase:5679518,250
Pepperdine University,jambase:397623,448
Long Beach Arena,jambase:356649,
Oak Canyon Park,jambase:2420529,
2220 Arts + Archives,jambase:8256968,300
Old World Village Biergarten,jambase:7738938,450
Harvard & Stone,jambase:69379,200
Joshua Tree Lake RV & Campground,jambase:65478,
Musco Center For The Arts,jambase:3557477,
Redondo Beach Performing Arts Center,jambase:345070,
Brookside at the Rose Bowl,jambase:3082722,
Universal Bar & Grill,jambase:69363,
Heat Ultra Lounge,jambase:67621,900
Apotheke LA,jambase:4689264,
Grand Park,jambase:398000,
Bar Lubitsch,jambase:378122,
Wallis Annenberg Center for the Performing Arts,jambase:2573391,
Ftg Warehouse,jambase:9689853,
SIXTY Beverly Hills,jambase:9645780,
The Hideaway Cafe & Lounge,jambase:9604686,
Sofar Sounds Malibu,jambase:9591680,
Tukut Lounge,jambase:9489311,
Blind Barber,jambase:9436768,
Aviator Nation DREAMLAND,jambase:9349166,
Sofar Sounds West Adams,jambase:9305135,
Sofar Sounds Downtown LA,jambase:9198816,
Hotel Ziggy,jambase:8922013,
The Melrose House,jambase:8818190,
Xalisco,jambase:8787304,
Club Tee Gee,jambase:8432087,200
First Street Pool & Billiard,jambase:8293767,
The Rose Room,jambase:8249394,
The Grand Theater,jambase:8056466,
Madame Siam,jambase:72440,275
Town Square Park and Amphitheater,jambase:72259,
Joshua Tree Retreat Center,jambase:69251,
The Virgil,jambase:68486,200
ArtBarLA,jambase:6457211,
Fret House,jambase:64535,
Central Park,jambase:5577525,
Brouwerij West,jambase:4683257,2500
Campus Jax,jambase:4021624,
Social Costa Mesa,jambase:395185,
GiGi’s Cocktail Lounge,jambase:393490,
Lake Skinner County Park,jambase:391010,
The Townhouse,jambase:390496,
Marina Green Park,jambase:389259,2000
Leonardo’s De Huntington Park,jambase:389141,
Sans Souci,jambase:348487,
Adelanto Stadium and Event Center,jambase:332008,
Voz Church,jambase:11402419,
The Haven Pomona,jambase:11369136,
The FIFTH Rooftop Restaurant & Bar,jambase:11329648,
Scribble,jambase:11182625,
Lewis Family Playhouse,jambase:10908439,
Mrs. Olson’s Restaurant,jambase:10805917,
Heartbeat,jambase:10662994,500
The Sun Rose,jambase:10119152,
Cooper’s BBQ,jambase:7180131,2500
Bill Aylor Sr Memorial RiverStage,jambase:7780382,
Ford Park,jambase:65236,8500
Jefferson Theatre,jambase:192809,1400
The Venue at Belle Oaks,jambase:11410150,
Atwood Concert Hall,jambase:62201,2000
Bear Tooth Theatrepub,jambase:62545,275
Creekbend Cafe,jambase:8818930,
Williwaw,jambase:1554482,120
Cuddy Family Midtown Park,jambase:9968494,
Alaska State Fair,jambase:66358,
Kenai Peninsula State Fairgrounds,jambase:64176,
49th State Brewing Company,jambase:4165496,
Hurricane Harry’s,jambase:63101,1700
